,Investors,Primary Investor Type,Other Investor Types,# of Investment Professionals,HQ State/Province,HQ Country/Territory,HQ Global Region,HQ Global Sub Region,Investor Status,Last Updated Date,Ownership Status,Company Financing Status,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,SIC Code Descriptions,SIC Group Descriptions,SIC Sector Descriptions,Revenue,Total Assets,Net Income,Enterprise Value,EBITDA,EBIT,Market Cap,Net Debt,Free Cash Flow,Investments,Exits,Active Portfolio,Investments in the last 7 days,Investments in the last 6 months,Investments in the last 12 months,Investments in the last 2 years,Investments in the last 5 years,Total Investments,Total Exits,Total Active Portfolio,Total Investments in the last 7 days,Total Investments in the last 6 months,Total Investments in the last 12 months,Total Investments in the last 2 years,Total Investments in the last 5 years,Last Investment Date,Last Investment Size,Last Investment Size Status,Last Investment Valuation,Last Investment Valuation Status,Last Investment Type,Last Investment Type 2,Last Investment Type 3,Last Investment Class,Last Investment Debt,Last Investment Debt Size,Last Investment Debt Date,Last Investment Status,AUM,Dry Powder,Trade Association,Total # of Hedge Funds,Total # of Credit,Total # of Equity,Total # of Macro,Total # of Event Driven,Total # of Relative Value,Total # of Risk Parity,Total # of Risk Premia,Total # of Fund of Funds,Total # of Other,Total Hedge Fund NAV,Total NAV Credit,Total NAV Equity,Total NAV Macro,Total NAV Event Driven,Total NAV Relative Value,Total NAV Risk Parity,Total NAV Risk Premia,Total NAV Fund of Funds,Total NAV Other,# Funds Open,# Funds Closed,# Funds Closed in the last 6 months,# Funds Closed in the last 12 months,# Funds Closed in the last 2 years,# Funds Closed in the last 5 years,Most Likely Fundraising,Min Fund Size,Max Fund Size,Median Fund Size,Total Funds Open,Total Funds Closed,Total Funds Closed in the last 6 months,Total Funds Closed in the last 12 months,Total Funds Closed in the last 2 years,Total Funds Closed in the last 5 years,Last Closed Fund Vintage,Last Closed Fund Size,Last Closed Fund Type,Last Closed Fund Close Date,Last Closed Fund Open Date,Preferred Industry,Preferred Verticals,Preferred Geography,Preferred Investment Types,Real Asset Preferences,Impact Category Preferences,Other Stated Preferences,Preferred Investment Amount,Preferred Investment Amount Min,Preferred Investment Amount Max,Preferred Deal Size,Preferred Deal Size Min,Preferred Deal Size Max,Preferred Company Valuation,Preferred Company Valuation Min,Preferred Company Valuation Max,Preferred EBITDA,Preferred EBITDA Min,Preferred EBITDA Max,Preferred EBIT,Preferred EBIT Min,Preferred EBIT Max,Preferred Revenue,Preferred Revenue Min,Preferred Revenue Max,Preferred Investment Horizon,Latest Note,Latest Note - Author,Median Quartile,Number of Funds,1 (Top Quartile),2 (Upper-Mid Quartile),3 (Lower-Mid Quartile),4 (Bottom Quartile),today,days_diff,Last Investment Delta,Last Investment Size filled,Recency Score,Frequency Score,Monetary Score,RFM Score,Segment,Recency,Frequency,Monetary
2183,Investor 2184,Venture Capital,,3.0,,Indonesia,Asia,Southeast Asia,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,79,20.0,49.0,,,1.0,8.0,33,79,20.0,49.0,,,1.0,8.0,33,17-May-22,10.1,Actual,80.1,Actual,Seed Round,Seed Round,,Venture Capital,,,17-May-22,Completed,33.3,2.98,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,Yes,3.0,30.3,16.65,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,431 days,431,10.1,2,5,4,254,Can't Lose,431,79,10.1
2184,Investor 2185,Venture Capital,,1.0,,Brazil,Americas,South America,Actively Seeking New Investments,12-May-23,,,,,,,,,,,,,,,,,,,,,1,1.0,,,,,,1,1,1.0,,,,,,1,20-Dec-22,9.74,Actual,60.0,Actual,Later Stage VC,Series A,,Venture Capital,Loan - $1.00M (Floating); Loan - $1.00M (Floating),2.0,20-Dec-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Commercial Services, Healthcare, Materials and Resources, Software","3D Printing, AgTech, CleanTech, Climate Tech, Cryptocurrency/Blockchain, Cybersecurity, Digital Health, EdTech, FoodTech, HealthTech, HR Tech, Impact Investing, InsurTech, Life Sciences, Space Technology","China, Europe, Hong Kong, Israel, United States","Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",0.03 - 0.54,0.03,0.54,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,214 days,214,9.74,4,1,4,414,Promising,214,1,9.74
2185,Investor 2186,Venture Capital,,1.0,,,,,,7-Jun-23,,,,,,,,,,,,,,,,,,,,,10,2.0,9.0,,,1.0,3.0,10,10,2.0,9.0,,,1.0,3.0,10,26-Jan-23,7.88,Actual,19.88,Actual,Later Stage VC,Series A,,Venture Capital,,,26-Jan-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Merger/Acquisition,,,Prefers majority stake,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,177 days,177,7.88,4,3,4,434,Potential Loyalists,177,10,7.88
2186,Investor 2187,Angel (individual),,,New York,United States,Americas,North America,,29-May-23,,,,,,,,,,,,,,,,,,,,,2,,2.0,,,1.0,2.0,2,2,,2.0,,,1.0,2.0,2,28-Apr-23,10.0,Actual,,,Seed Round,Seed Round,,Venture Capital,,,28-Apr-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Software,"CloudTech & DevOps, SaaS, TMT",,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",0.50 - 1.50,0.5,1.5,,,,,,,,,,,,,0.10 - 50.00,0.1,50.0,,,,,,,,,,2023-07-22,85 days,85,10.0,5,1,4,514,New Investors,85,2,10.0
2187,Investor 2188,Angel (individual),,,California,United States,Americas,North America,Actively Seeking New Investments,15-Jun-23,,,,,,,,,,,,,,,,,,,,,2,,2.0,,,,1.0,2,2,,2.0,,,,1.0,2,8-Jun-22,12.0,Actual,44.0,Actual,Early Stage VC,Series A,,Venture Capital,,,8-Jun-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Consumer Non-Durables, Healthcare Services, Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,409 days,409,12.0,2,1,4,214,Hibernating,409,2,12.0
2188,Investor 2189,Venture Capital,,4.0,,,,,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,10,1.0,9.0,,,,5.0,10,10,1.0,9.0,,,,5.0,10,14-Feb-23,3.0,Actual,,,Early Stage VC,,,Venture Capital,,,14-Feb-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2020.0,40.0,Venture Capital - Early Stage,31-Dec-20,,,,,"Later Stage VC, Merger/Acquisition, PE Growth/Expansion",,,"Prefers majority stake, Prefers minority stake",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,158 days,158,3.0,4,3,2,432,Potential Loyalists,158,10,3.0
2189,Investor 2190,Venture Capital,,10.0,Minnesota,United States,Americas,North America,,8-Jun-23,,,,,,,,,,,,,,,,,,,,,170,18.0,122.0,,8.0,22.0,72.0,145,170,18.0,122.0,,8.0,22.0,72.0,145,31-May-23,4.5,Actual,,,Seed Round,Seed Round,,Venture Capital,,,31-May-23,Completed,853.47,771.13,National Venture Capital Association,,,,,,,,,,,,,,,,,,,,,9.0,42.0,1.0,6.0,27.0,41.0,Yes,0.5,300.0,5.99,9.0,42.0,1.0,6.0,27.0,41.0,2021.0,19.4,Venture Capital - Early Stage,18-Aug-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,52 days,52,4.5,5,5,3,553,Champions,52,170,4.5
2190,Investor 2191,Angel (individual),,,Florida,United States,Americas,North America,,9-May-23,,,,,,,,,,,,,,,,,,,,,54,1.0,37.0,,3.0,10.0,27.0,41,54,1.0,37.0,,3.0,10.0,27.0,41,11-Jun-23,3.44,Actual,,,Later Stage VC,,,Venture Capital,Bridge - $3.44M (Convertible),,11-Jun-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2021.0,400.0,Venture - General,3-Mar-21,29-Jan-21,Software,,,"Convertible Debt, Early Stage VC, Seed Round",,,"Prefers minority stake, Will lead on a deal, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,41 days,41,3.44,5,5,3,553,Champions,41,54,3.44
2191,Investor 2192,Angel (individual),,,,Israel,Middle East,Middle East,Actively Seeking New Investments,9-Jun-23,,,,,,,,,,,,,,,,,,,,,2,,2.0,,1.0,1.0,1.0,2,2,,2.0,,1.0,1.0,1.0,2,16-Mar-22,20.0,Actual,160.0,Actual,Early Stage VC,Series A,,Venture Capital,,,16-Mar-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,493 days,493,20.0,2,1,4,214,Hibernating,493,2,20.0
2192,Investor 2193,Venture Capital,,1.0,California,United States,Americas,North America,Actively Seeking New Investments,13-Jun-23,,,,,,,,,,,,,,,,,,,,,29,8.0,23.0,,,3.0,13.0,20,29,8.0,23.0,,,3.0,13.0,20,5-Oct-22,1.8,Actual,22.0,Actual,Seed Round,Seed Round,,Venture Capital,,,5-Oct-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,Yes,20.0,20.0,20.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,290 days,290,1.8,3,4,2,342,Loyal Investors,290,29,1.8
2193,Investor 2194,Angel (individual),,,,China,Asia,East Asia,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,6,1.0,5.0,,,,2.0,6,6,1.0,5.0,,,,2.0,6,24-May-23,1.97,,,,Early Stage VC,,,Venture Capital,,,24-May-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,59 days,59,1.97,5,2,2,522,Potential Loyalists,59,6,1.97
2194,Investor 2195,Angel (individual),,,England,United Kingdom,Europe,Western Europe,Out of Business,30-May-23,,,,,,,,,,,,,,,,,,,,,11,,11.0,,2.0,4.0,6.0,11,11,,11.0,,2.0,4.0,6.0,11,10-Jun-22,0.71,Actual,,,Seed Round,Series 1,,Venture Capital,Bridge - $0.23M (Convertible),0.23,10-Jun-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Insurance, Software","Cryptocurrency/Blockchain, Cybersecurity, FinTech, Gaming, Infrastructure","Canada, China, Europe, Hong Kong, India, Israel, Japan, Singapore, South Korea, Taiwan, United States","Early Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,407 days,407,0.71,3,3,1,331,Need Attention,407,11,0.71
2195,Investor 2196,Hedge Fund,Venture Capital,6.0,District of Columbia,United States,Americas,North America,Actively Seeking New Investments,13-Jun-23,,,,,,,,,,,,,,,,,,,,,113,67.0,35.0,,1.0,11.0,25.0,71,113,67.0,35.0,,1.0,11.0,25.0,71,3-Mar-23,3.9,Actual,,,Early Stage VC,,,Venture Capital,,,3-Mar-23,Completed,44627.7,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,Yes,,,,1.0,,,,,,,,,,,"Consumer Non-Durables, Software","Mobile, TMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,141 days,141,3.9,4,5,3,453,Loyal Investors,141,113,3.9
2196,Investor 2197,Angel (individual),,,Karnataka,India,Asia,South Asia,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,5,2.0,3.0,,,,,3,5,2.0,3.0,,,,,3,19-Feb-21,1.75,,,,Early Stage VC,Series A,,Venture Capital,,,19-Feb-21,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Consumer Products and Services (B2C), Financial Services, Information Technology","AdTech, AgTech, Artificial Intelligence & Machine Learning, Augmented Reality, B2B Payments, CleanTech, Climate Tech, Cryptocurrency/Blockchain, E-Commerce, EdTech, Esports, FinTech, FoodTech, Gaming, HealthTech, Internet of Things, Ridesharing, SaaS, TMT, Virtual Reality",South Asia,"Debt - General, Early Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,883 days,883,1.75,1,2,2,122,Hibernating,883,5,1.75
2197,Investor 2198,Angel (individual),,,,,,,Actively Seeking New Investments,9-Jun-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,1.0,1,1,,1.0,,,,1.0,1,9-Mar-23,50.0,Actual,180.0,Actual,Later Stage VC,Series B,,Venture Capital,Other - $10.08M,10.08,9-Mar-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,135 days,135,50.0,4,1,5,415,Promising,135,1,50.0
2198,Investor 2199,Growth/Expansion,,11.0,Delaware,United States,Americas,North America,Actively Seeking New Investments,30-May-23,,,,,,,,,,,,,,,,,,,,,7,3.0,5.0,,,,1.0,3,7,3.0,5.0,,,,1.0,3,2-Jul-19,12.6,Actual,46.6,Actual,Later Stage VC,Series A,,Venture Capital,,,2-Jul-19,Completed,,0.31,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,Yes,0.84,0.84,0.84,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,1481 days,1481,12.6,1,3,4,134,At Risk,1481,7,12.6
2199,Investor 2200,Angel (individual),,,,,,,,9-Jun-23,,,,,,,,,,,,,,,,,,,,,5,,5.0,,1.0,1.0,3.0,5,5,,5.0,,1.0,1.0,3.0,5,27-Dec-22,13.6,Actual,56.11,Actual,Early Stage VC,Series A,,Venture Capital,Other - $1.49M,1.49,27-Dec-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Other Information Technology, Software","Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, B2B Payments, Big Data, CleanTech, Climate Tech, CloudTech & DevOps, Construction Technology, Cryptocurrency/Blockchain, Cybersecurity, Digital Health, E-Commerce, EdTech, FinTech, FoodTech, HealthTech, HR Tech, Internet of Things, Mobility Tech, SaaS","Central America, South America","Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",2.00 - 10.00,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,207 days,207,13.6,4,2,4,424,Potential Loyalists,207,5,13.6
2200,Investor 2201,Angel (individual),,,Delhi,India,Asia,South Asia,Actively Seeking New Investments,13-Jun-23,,,,,,,,,,,,,,,,,,,,,18,1.0,11.0,,,3.0,9.0,17,18,1.0,11.0,,,3.0,9.0,17,27-Jan-22,30.0,Actual,150.0,Actual,Early Stage VC,Series A,,Venture Capital,,,27-Jan-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Accounting, Audit and Tax Services (B2B), Apparel and Accessories, Commercial Products, Commercial Transportation, Communications and Networking, Computer Hardware, Consumer Durables, Consumer Non-Durables, IT Services, Media, Other Business Products and Services, Other Commercial Services, Other Information Technology, Restaurants, Hotels and Leisure, Retail, Security Services (B2B), Semiconductors, Services (Non-Financial), Software, Transportation","Advanced Manufacturing, Industrials, Manufacturing",Italy,"Buyout/LBO, Management Buy-In, Management Buyout, PE Growth/Expansion, Second Lien",,Diversity & Inclusion,"Long-Term Investor, Prefers majority stake, Prefers minority stake, Seeks ESG investments, Seeks Impact investments",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,541 days,541,30.0,2,4,5,245,At Risk,541,18,30.0
2201,Investor 2202,Venture Capital,,,,,,,,9-Jun-23,,,,,,,,,,,,,,,,,,,,,28,4.0,22.0,,1.0,7.0,22.0,26,28,4.0,22.0,,1.0,7.0,22.0,26,5-Jul-22,110.0,Estimated,,,Later Stage VC,Series D,,Venture Capital,Loan - $40.00M,40.0,5-Jul-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Educational and Training Services (B2C), Media, Software","SaaS, TMT",United States,"Buyout/LBO, Carveout, PE Growth/Expansion",,,"Prefers majority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,382 days,382,110.0,3,4,5,345,Loyal Investors,382,28,110.0
2202,Investor 2203,Venture Capital,,3.0,California,United States,Americas,North America,Actively Seeking New Investments,9-Mar-23,,,,,,,,,,,,,,,,,,,,,22,3.0,16.0,,2.0,3.0,8.0,21,22,3.0,16.0,,2.0,3.0,8.0,21,8-Apr-21,8.92,Actual,,,Early Stage VC,Series A,,Venture Capital,,,8-Apr-21,Completed,26.5,10.21,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,2.0,No,26.51,26.51,26.51,,2.0,,,1.0,2.0,,,,,,Software,"3D Printing, Real Estate Technology, TMT",,,,,,0.15 - 1.00,0.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,835 days,835,8.92,1,4,4,144,At Risk,835,22,8.92
2203,Investor 2204,Family Office,"Fund of Funds, Real Estate, Venture Capital",2.0,,Singapore,Asia,Southeast Asia,,30-Apr-23,,,,,,,,,,,,,,,,,,,,,27,3.0,22.0,,,4.0,10.0,24,27,3.0,22.0,,,4.0,10.0,24,16-Nov-22,6.3,Actual,,,Seed Round,Seed Round,,Venture Capital,,,16-Nov-22,Completed,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Consumer Non-Durables, Healthcare Technology Systems, Software",TMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,248 days,248,6.3,3,4,3,343,Loyal Investors,248,27,6.3
2204,Investor 2205,Venture Capital,Growth/Expansion,18.0,California,United States,Americas,North America,Actively Seeking New Investments,14-Apr-23,Privately Held (backing),Venture Capital-Backed,Financial Services,Capital Markets/Institutions,Private Equity,Private Equity*,,"early stage investment, fund house, funding assistance, seeds investment, venture capital, venture capital fund, venture funding, venture investment",,,,,,,,,,,,,449,162.0,88.0,1.0,10.0,20.0,52.0,126,449,162.0,88.0,1.0,10.0,20.0,52.0,126,6-Apr-23,2.0,Actual,,,Seed Round,Seed Round,,Venture Capital,,,6-Apr-23,Completed,3000.0,486.17,Principles for Responsible Investment,,,,,,,,,,,,,,,,,,,,,7.0,15.0,,,1.0,4.0,Yes,20.0,500.0,153.25,7.0,15.0,,,1.0,4.0,2023.0,0.6,Venture - General,27-Jan-23,17-Oct-22,"Healthcare, Software","Artificial Intelligence & Machine Learning, Big Data, SaaS, TMT","California, Florida, Georgia, Illinois, Massachusetts, New York","Angel (individual), Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,107 days,107,2.0,5,5,2,552,Champions,107,449,2.0
2205,Investor 2206,Angel (individual),,,New York,United States,Americas,North America,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,1.0,1,1,,1.0,,,,1.0,1,1-May-22,,,,,Seed Round,Seed Round,,Venture Capital,,,1-May-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Business Products and Services (B2B), Consumer Products and Services (B2C), Financial Services, Information Technology","Artificial Intelligence & Machine Learning, B2B Payments, CloudTech & DevOps, FinTech, Infrastructure, SaaS","Asia, Europe, United States","Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,447 days,447,0.0,2,1,1,211,Hibernating,447,1,0.0
2206,Investor 2207,Venture Capital,Angel Group,2.0,,Nigeria,Africa,Western Africa,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,28,1.0,27.0,,,13.0,25.0,27,28,1.0,27.0,,,13.0,25.0,27,1-Nov-22,1.38,Actual,,,Seed Round,Seed Round,,Venture Capital,,,1-Nov-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Consumer Products and Services (B2C), Healthcare, Healthcare Services, Pharmaceuticals and Biotechnology",,,,,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,263 days,263,1.38,3,4,2,342,Loyal Investors,263,28,1.38
2207,Investor 2208,Angel (individual),,,,Israel,Middle East,Middle East,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,6,,6.0,,,3.0,6.0,6,6,,6.0,,,3.0,6.0,6,22-Nov-21,,,,,Seed Round,Seed Round,,Venture Capital,,,22-Nov-21,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Other Information Technology,Artificial Intelligence & Machine Learning,,"Early Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",0.25 - 7.00,0.25,7.0,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,607 days,607,0.0,2,2,1,221,Hibernating,607,6,0.0
2208,Investor 2209,Angel (individual),,,California,United States,Americas,North America,Actively Seeking New Investments,5-May-23,,,,,,,,,,,,,,,,,,,,,8,1.0,7.0,,1.0,2.0,5.0,7,8,1.0,7.0,,1.0,2.0,5.0,7,16-May-23,81.0,Actual,,,Early Stage VC,Series A,,Venture Capital,,,16-May-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,67 days,67,81.0,5,3,5,535,Potential Loyalists,67,8,81.0
2209,Investor 2210,Corporate Venture Capital,Venture Capital,3.0,,Mexico,Americas,North America,,1-Jun-23,,,,,,,,,,,,,,,,,,,,,84,20.0,41.0,,,1.0,13.0,44,84,20.0,41.0,,,1.0,13.0,44,30-Aug-22,12.0,Actual,42.11,Actual,Early Stage VC,Series A,,Venture Capital,Other - $0.62M,0.62,30-Aug-22,Completed,160.0,393.54,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,Yes,393.54,393.54,393.54,,1.0,,,,,,,,,,"Biotechnology, Elder and Disabled Care, Hospitals/Inpatient Services, Managed Care, Other Healthcare Services, Other Pharmaceuticals and Biotechnology, Practice Management (Healthcare)",LOHAS & Wellness,United States,"Grant, Merger/Acquisition",Real Estate: Multi-family,"Health, Real Estate","Prefers majority stake, Seeks Impact investments",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,326 days,326,12.0,3,5,4,354,Loyal Investors,326,84,12.0
2210,Investor 2211,Venture Capital,,4.0,Federal District,Mexico,Americas,North America,Actively Seeking New Investments,28-Mar-23,,,,,,,,,,,,,,,,,,,,,35,4.0,21.0,,,1.0,13.0,32,35,4.0,21.0,,,1.0,13.0,32,1-Apr-23,,,,,Early Stage VC,,,Venture Capital,,,1-Apr-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,Yes,,,,1.0,,,,,,,,,,,Software,,,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,112 days,112,0.0,4,4,1,441,Loyal Investors,112,35,0.0
2211,Investor 2212,Angel (individual),,,,Cayman Islands,Americas,Central America,Actively Seeking New Investments,9-Mar-23,,,,,,,,,,,,,,,,,,,,,5,,4.0,,,,2.0,3,5,,4.0,,,,2.0,3,29-Jun-21,1.6,Actual,,,Seed Round,Seed Round,,Venture Capital,,,29-Jun-21,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Business Products and Services (B2B), Consumer Products and Services (B2C)",,,"Early Stage VC, Later Stage VC, PE Growth/Expansion",,,"Prefers minority stake, Will syndicate",0.02 - 2.49,0.02,2.49,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,753 days,753,1.6,1,2,2,122,Hibernating,753,5,1.6
2212,Investor 2213,Angel (individual),,,California,United States,Americas,North America,Actively Seeking New Investments,15-Jun-23,,,,,,,,,,,,,,,,,,,,,1,1.0,,,,,,1,1,1.0,,,,,,1,1-Mar-23,14.5,Actual,41.5,Actual,Early Stage VC,Series A,,Venture Capital,,,1-Mar-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Other Consumer Products and Services, Other Financial Services, Other Information Technology, Retail, Software","B2B Payments, E-Commerce, FinTech, Internet of Things, Mobile, Mobile Commerce, SaaS, TMT",South America,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,143 days,143,14.5,4,1,4,414,Promising,143,1,14.5
2213,Investor 2214,Venture Capital,,,,Germany,Europe,Western Europe,Actively Seeking New Investments,11-Jun-23,,,,,,,,,,,,,,,,,,,,,6,1.0,5.0,,1.0,3.0,5.0,5,6,1.0,5.0,,1.0,3.0,5.0,5,24-Nov-22,1.6,Actual,,,Early Stage VC,,,Venture Capital,,,24-Nov-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Software,TMT,"408, 650","Angel (individual), Early Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,240 days,240,1.6,3,2,2,322,About to Sleep,240,6,1.6
2214,Investor 2215,Angel (individual),,,Massachusetts,United States,Americas,North America,Actively Seeking New Investments,13-Jun-23,,,,,,,,,,,,,,,,,,,,,56,6.0,45.0,,2.0,4.0,17.0,44,56,6.0,45.0,,2.0,4.0,17.0,44,25-Mar-22,12.62,Actual,33.3,Actual,Later Stage VC,Series A,,Venture Capital,,,25-Mar-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2022.0,2400.0,Credit Special Situations,15-Jun-22,16-Mar-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,484 days,484,12.62,2,5,4,254,Can't Lose,484,56,12.62
2215,Investor 2216,Venture Capital,,1.0,Gyeonggi-do,South Korea,Asia,East Asia,,2-Jun-23,,,,,,,,,,,,,,,,,,,,,19,4.0,10.0,,,,1.0,12,19,4.0,10.0,,,,1.0,12,7-Feb-23,8.0,Actual,,,Seed Round,Seed Round,,Venture Capital,,,7-Feb-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Consumer Non-Durables, Software",FoodTech,,,,,,2.00 - 5.00,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,165 days,165,8.0,4,4,4,444,Loyal Investors,165,19,8.0
